Match_addr,X,Y,IN_AlarmDa,FR_Cause_1
1920 SWANSON DR #1,11484882.97,3910699.901,2008-11-21T00:00:00.000Z,NULL
1326 RUGBY RD,11485765.27,3905859.307,2008-11-22T00:00:00.000Z,NULL
1326 RUGBY RD,11485765.27,3905859.307,2008-11-22T00:00:00.000Z,Unintentional
2716 MCELROY DR,11478133.96,3893186.381,2008-11-23T00:00:00.000Z,NULL
1215 GRADY AVE,11484333.82,3902183.488,2008-11-26T00:00:00.000Z,NULL
1215 GRADY AVE,11484333.82,3902183.488,2008-11-26T00:00:00.000Z,Unintentional
317 MONTICELLO RD,11489706.69,3897328.121,2008-11-27T00:00:00.000Z,NULL
317 MONTICELLO RD,11489706.69,3897328.121,2008-11-27T00:00:00.000Z,Cause under investigation
906 BING LN,11480672.66,3894933.802,2008-11-29T00:00:00.000Z,NULL
906 BING LN,11480672.66,3894933.802,2008-11-29T00:00:00.000Z,Unintentional
911 RIVES ST #A,11491265.59,3894100.444,2008-12-01T00:00:00.000Z,NULL
218 W WATER ST #300,11487606.43,3898741.766,2008-12-01T00:00:00.000Z,NULL
218 W WATER ST #300,11487606.43,3898741.766,2008-12-01T00:00:00.000Z,Failure of equipment or heat source
330 RIVERSIDE AVE,11496045.82,3896888.942,2008-12-02T00:00:00.000Z,NULL
330 RIVERSIDE AVE,11496045.82,3896888.942,2008-12-02T00:00:00.000Z,Unintentional
828 CABELL AVE #A,11484406.9,3903236.799,2008-12-06T00:00:00.000Z,NULL
828 CABELL AVE #A,11484406.9,3903236.799,2008-12-06T00:00:00.000Z,Unintentional
617 MADISON AVE #A,11483994.67,3902748.471,2008-12-14T00:00:00.000Z,NULL
617 MADISON AVE #A,11483994.67,3902748.471,2008-12-14T00:00:00.000Z,Unintentional
123 MIDDLESEX DR #A,11482793.21,3908905.874,2008-12-14T00:00:00.000Z,NULL
418 4TH ST NE,11489402.85,3899762.061,2008-12-20T00:00:00.000Z,NULL
418 4TH ST NE,11489402.85,3899762.061,2008-12-20T00:00:00.000Z,Unintentional
732 VILLAGE RD,11482607.23,3894322.319,2008-12-23T00:00:00.000Z,NULL
864 ST CHARLES AVE,11492279.88,3901727.631,2008-12-21T00:00:00.000Z,NULL
864 ST CHARLES AVE,11492279.88,3901727.631,2008-12-21T00:00:00.000Z,Unintentional
810 HARDY DR,11485431.3,3899696.881,2008-12-25T00:00:00.000Z,NULL
2672 JEFFERSON PARK CIR,11478080.18,3894474.679,2008-12-26T00:00:00.000Z,NULL
714 GRAVES ST,11490048.94,3897548.696,2008-12-26T00:00:00.000Z,NULL
200 W MAIN ST,11487950.12,3898900.395,2008-12-31T00:00:00.000Z,NULL
2406 JEFFERSON PARK AVE,11478728.9,3896004.698,2009-01-01T00:00:00.000Z,NULL
2406 JEFFERSON PARK AVE,11478728.9,3896004.698,2009-01-01T00:00:00.000Z,Unintentional
1215 LEE ST,11483404.36,3899020.127,2009-01-04T00:00:00.000Z,NULL
1215 LEE ST,11483404.36,3899020.127,2009-01-04T00:00:00.000Z,Intentional
236 SUNSET AVE #A,11477510.36,3894474.938,2009-01-05T00:00:00.000Z,NULL
236 SUNSET AVE #A,11477510.36,3894474.938,2009-01-05T00:00:00.000Z,Unintentional
212 CLEVELAND AVE #A,11479639.08,3894874.699,2009-01-10T00:00:00.000Z,NULL
212 CLEVELAND AVE #A,11479639.08,3894874.699,2009-01-10T00:00:00.000Z,Cause undetermined after investigation
422 GARRETT ST #A,11488530.97,3897432.241,2009-01-15T00:00:00.000Z,NULL
422 GARRETT ST #A,11488530.97,3897432.241,2009-01-15T00:00:00.000Z,Cause under investigation
500 1ST ST S #201,11487738.58,3897479.388,2009-01-13T00:00:00.000Z,NULL
500 1ST ST S #201,11487738.58,3897479.388,2009-01-13T00:00:00.000Z,Unintentional
709 W MAIN ST,11485808.77,3899202.281,2009-01-16T00:00:00.000Z,NULL
320 CLEVELAND AVE,11480247.12,3894641.768,2009-01-17T00:00:00.000Z,NULL
320 CLEVELAND AVE,11480247.12,3894641.768,2009-01-17T00:00:00.000Z,Unintentional
1415 VINE ST #A,11492355.22,3894791.758,2009-01-18T00:00:00.000Z,NULL
1415 VINE ST #A,11492355.22,3894791.758,2009-01-18T00:00:00.000Z,Unintentional
415 GARRETT ST #A,11488477.81,3897580.329,2009-01-19T00:00:00.000Z,NULL
415 GARRETT ST #A,11488477.81,3897580.329,2009-01-19T00:00:00.000Z,Unintentional
221 CARLTON RD #11,11491479.94,3896110.976,2009-01-20T00:00:00.000Z,NULL
100 HARMON ST #A,11479327.13,3897586.799,2009-01-20T00:00:00.000Z,NULL
221 CARLTON RD #11,11491479.94,3896110.976,2009-01-20T00:00:00.000Z,Failure of equipment or heat source
150 MADISON LN,11482529.31,3901453.483,2009-01-20T00:00:00.000Z,NULL
150 MADISON LN,11482529.31,3901453.483,2009-01-20T00:00:00.000Z,Cause undetermined after investigation
1227 RIVER VISTA AVE,11494272.08,3901354.799,2009-01-23T00:00:00.000Z,NULL
711 MADISON AVE,11484277.84,3902763.111,2009-01-25T00:00:00.000Z,NULL
1615 EMMET ST N,11484070.47,3908981.333,2009-01-28T00:00:00.000Z,NULL
1615 EMMET ST N,11484070.47,3908981.333,2009-01-28T00:00:00.000Z,Unintentional
717 SHAMROCK RD,11482532.26,3895068.616,2009-01-29T00:00:00.000Z,NULL
717 SHAMROCK RD,11482532.26,3895068.616,2009-01-29T00:00:00.000Z,Unintentional
1404 JEFFERSON PARK AVE,11482314.34,3899261.976,2009-02-02T00:00:00.000Z,NULL
1404 JEFFERSON PARK AVE,11482314.34,3899261.976,2009-02-02T00:00:00.000Z,Unintentional
163 SEMINOLE CT,11487156.21,3911349.75,2009-02-04T00:00:00.000Z,NULL
1904 EMMET ST N,11485364.43,3909516.805,2009-02-09T00:00:00.000Z,NULL
1904 EMMET ST N,11485364.43,3909516.805,2009-02-09T00:00:00.000Z,Unintentional
1408 BURGESS LN #A,11493096.13,3896471.377,2009-02-13T00:00:00.000Z,NULL
1408 BURGESS LN #A,11493096.13,3896471.377,2009-02-13T00:00:00.000Z,Unintentional
932 HENRY AVE,11486099.51,3902225.279,2009-02-14T00:00:00.000Z,NULL
411 GARRETT ST #A,11488396.4,3897579.846,2009-02-19T00:00:00.000Z,NULL
411 GARRETT ST #A,11488396.4,3897579.846,2009-02-19T00:00:00.000Z,Unintentional
128 STRIBLING AVE #A,11478033.25,3895955.976,2009-02-20T00:00:00.000Z,NULL
128 STRIBLING AVE #A,11478033.25,3895955.976,2009-02-20T00:00:00.000Z,Failure of equipment or heat source
2311 TARLETON DR,11492488.69,3911444.406,2009-02-20T00:00:00.000Z,NULL
1025 SEMINOLE TRL,11486223.98,3911243.504,2009-02-22T00:00:00.000Z,NULL
1909 SWANSON DR,11484676.75,3910240.064,2009-02-26T00:00:00.000Z,NULL
1909 SWANSON DR,11484676.75,3910240.064,2009-02-26T00:00:00.000Z,Unintentional
815 PROSPECT AVE,11483634.34,3895258.462,2009-02-27T00:00:00.000Z,NULL
815 PROSPECT AVE,11483634.34,3895258.462,2009-02-27T00:00:00.000Z,Cause under investigation
12 ELLIEWOOD AVE,11482845.92,3900864.258,2009-03-01T00:00:00.000Z,NULL
1029 HAZEL ST,11492198.97,3900427.389,2009-03-02T00:00:00.000Z,NULL
1029 HAZEL ST,11492198.97,3900427.389,2009-03-02T00:00:00.000Z,Unintentional
404 E MAIN ST,11488920.5,3898549.928,2009-03-07T00:00:00.000Z,NULL
404 E MAIN ST,11488920.5,3898549.928,2009-03-07T00:00:00.000Z,Unintentional
1419 SHORT 18TH ST #A,11494204.49,3897254.789,2009-03-09T00:00:00.000Z,NULL
1419 SHORT 18TH ST #A,11494204.49,3897254.789,2009-03-09T00:00:00.000Z,Unintentional
104 LEWIS MOUNTAIN CIR,11478890.37,3901850.898,2009-03-11T00:00:00.000Z,NULL
1419 SHORT 18TH ST #A,11494204.49,3897254.789,2009-03-22T00:00:00.000Z,NULL
1419 SHORT 18TH ST #A,11494204.49,3897254.789,2009-03-22T00:00:00.000Z,Cause under investigation
1515 6TH ST SE,11486843.14,3894205.404,2009-03-23T00:00:00.000Z,NULL
1515 6TH ST SE,11486843.14,3894205.404,2009-03-23T00:00:00.000Z,Intentional
1515 6TH ST SE,11486843.14,3894205.404,2009-03-23T00:00:00.000Z,Intentional
906 CHARLTON AVE,11486389.34,3901712.396,2009-04-06T00:00:00.000Z,NULL
600 PRESTON AVE,11486916.66,3900339.379,2009-04-08T00:00:00.000Z,NULL
1303 WERTLAND ST #A1,11483559.19,3900389.159,2009-04-10T00:00:00.000Z,NULL
1801 HYDRAULIC RD,11485874.37,3909883.8,2009-04-11T00:00:00.000Z,NULL
1801 HYDRAULIC RD,11485874.37,3909883.8,2009-04-11T00:00:00.000Z,Unintentional
404 GARRETT ST #A,11488389.26,3897883.065,2009-04-13T00:00:00.000Z,NULL
404 GARRETT ST #A,11488389.26,3897883.065,2009-04-13T00:00:00.000Z,Unintentional
905 WEST ST,11485639.94,3901006.436,2009-04-17T00:00:00.000Z,NULL
905 WEST ST,11485639.94,3901006.436,2009-04-17T00:00:00.000Z,Unintentional
400 FAIRWAY AVE #A,11493873.1,3897746.2,2009-04-20T00:00:00.000Z,NULL
1202 E HIGH ST,11492654.33,3899238.132,2009-04-23T00:00:00.000Z,NULL
1133 EMMET ST N,11482765.27,3906565.885,2009-04-24T00:00:00.000Z,NULL
768 PROSPECT AVE #A,11484583.11,3896096.156,2009-04-27T00:00:00.000Z,NULL
768 PROSPECT AVE #A,11484583.11,3896096.156,2009-04-27T00:00:00.000Z,Unintentional
114 CARROLLTON TER #A,11480177.69,3897656.281,2009-04-27T00:00:00.000Z,NULL
734 PROSPECT AVE #A,11484520.75,3896313.834,2009-04-27T00:00:00.000Z,NULL
734 PROSPECT AVE #A,11484520.75,3896313.834,2009-04-27T00:00:00.000Z,Unintentional
911 WEST ST #A,11485501.96,3901078.361,2009-04-27T00:00:00.000Z,NULL
911 WEST ST #A,11485501.96,3901078.361,2009-04-27T00:00:00.000Z,Unintentional
1215 WERTLAND ST #A13,11483693.77,3900307.038,2009-05-03T00:00:00.000Z,NULL
110 5TH ST NE,11489216.96,3898681.241,2009-05-09T00:00:00.000Z,NULL
110 5TH ST NE,11489216.96,3898681.241,2009-05-09T00:00:00.000Z,Unintentional
502 E MARKET ST,11489255.93,3898745.599,2009-05-09T00:00:00.000Z,Unintentional
108 5TH ST NE,11489207.35,3898655.136,2009-05-09T00:00:00.000Z,Unintentional
104 ANTOINETTE CT #A,11482753.8,3895244.448,2009-05-10T00:00:00.000Z,NULL
104 ANTOINETTE CT #A,11482753.8,3895244.448,2009-05-10T00:00:00.000Z,Unintentional
125 BAYLOR LN,11485221.76,3894815.296,2009-05-15T00:00:00.000Z,NULL
2514 PLATEAU RD #A,11476590.81,3896825.733,2009-05-17T00:00:00.000Z,NULL
2514 PLATEAU RD #A,11476590.81,3896825.733,2009-05-17T00:00:00.000Z,Cause undetermined after investigation
1806 BARRACKS RD,11484740.4,3905106.882,2009-05-18T00:00:00.000Z,NULL
1806 BARRACKS RD,11484740.4,3905106.882,2009-05-18T00:00:00.000Z,Cause under investigation
1208 HOLMES AVE,11494258.75,3904642.874,2009-05-25T00:00:00.000Z,NULL
500 1ST ST S #201,11487738.58,3897479.388,2009-05-25T00:00:00.000Z,NULL
500 1ST ST S #201,11487738.58,3897479.388,2009-05-25T00:00:00.000Z,Unintentional
1131 5TH ST SW,11482176.18,3892498.748,2009-06-03T00:00:00.000Z,NULL
1131 5TH ST SW,11482176.18,3892498.748,2009-06-03T00:00:00.000Z,Cause under investigation
1517 ROSA TER,11486774.29,3894626.781,2009-06-05T00:00:00.000Z,NULL
1517 ROSA TER,11486774.29,3894626.781,2009-06-05T00:00:00.000Z,Unintentional
216 W WATER ST #101,11487619.33,3898736.547,2009-06-13T00:00:00.000Z,NULL
216 W WATER ST #101,11487619.33,3898736.547,2009-06-13T00:00:00.000Z,Cause undetermined after investigation
818 ALTAVISTA AVE,11488961.27,3894591.122,2009-06-15T00:00:00.000Z,NULL
818 ALTAVISTA AVE,11488961.27,3894591.122,2009-06-15T00:00:00.000Z,Unintentional
1400 MELBOURNE RD,11489927.84,3906857.363,2009-06-16T00:00:00.000Z,NULL
1400 MELBOURNE RD,11489927.84,3906857.363,2009-06-16T00:00:00.000Z,Cause under investigation
407 PATON ST #A,11482219.02,3897635.775,2009-06-18T00:00:00.000Z,NULL
407 PATON ST #A,11482219.02,3897635.775,2009-06-18T00:00:00.000Z,Failure of equipment or heat source
583 BRANDON AVE #101,11481537.14,3898475.609,2009-06-20T00:00:00.000Z,NULL
583 BRANDON AVE #101,11481537.14,3898475.609,2009-06-20T00:00:00.000Z,Unintentional
830 CHERRY AVE,11484506.39,3898069.163,2009-06-20T00:00:00.000Z,NULL
537 2ND ST NE,11489080.35,3900642.963,2009-06-21T00:00:00.000Z,NULL
742 PROSPECT AVE #A,11484607.21,3896427.401,2009-06-23T00:00:00.000Z,NULL
2045 BARRACKS RD,11483335.09,3906472.039,2009-06-28T00:00:00.000Z,NULL
742 PROSPECT AVE #A,11484607.21,3896427.401,2009-06-23T00:00:00.000Z,Unintentional
2045 BARRACKS RD,11483335.09,3906472.039,2009-06-28T00:00:00.000Z,Unintentional
1215 LEE ST,11483404.36,3899020.127,2009-07-01T00:00:00.000Z,NULL
1215 LEE ST,11483404.36,3899020.127,2009-07-01T00:00:00.000Z,Failure of equipment or heat source
810 VILLAGE RD,11482917.39,3894202.392,2009-07-05T00:00:00.000Z,NULL
810 VILLAGE RD,11482917.39,3894202.392,2009-07-05T00:00:00.000Z,Unintentional
1914 THOMSON RD,11480319.69,3901005.487,2009-07-15T00:00:00.000Z,NULL
1220 SMITH ST #A,11495128.71,3902219.673,2009-07-16T00:00:00.000Z,NULL
1220 SMITH ST #A,11495128.71,3902219.673,2009-07-16T00:00:00.000Z,Cause under investigation
501 W MAIN ST,11486484.17,3898988.983,2009-07-20T00:00:00.000Z,NULL
501 W MAIN ST,11486484.17,3898988.983,2009-07-20T00:00:00.000Z,Unintentional
1215 LEE ST,11483404.36,3899020.127,2009-07-21T00:00:00.000Z,NULL
1503 BROAD AVE,11481686.25,3896578.072,2009-07-21T00:00:00.000Z,NULL
1215 LEE ST,11483404.36,3899020.127,2009-07-21T00:00:00.000Z,Unintentional
158 BRANDYWINE CT,11486660.98,3908750.692,2009-07-23T00:00:00.000Z,NULL
158 BRANDYWINE CT,11486660.98,3908750.692,2009-07-23T00:00:00.000Z,Unintentional
932 MONTICELLO AVE,11490179.25,3895690.27,2009-07-30T00:00:00.000Z,NULL
932 MONTICELLO AVE,11490179.25,3895690.27,2009-07-30T00:00:00.000Z,Unintentional
910 1ST ST S #A,11486878.05,3895667.692,2009-07-31T00:00:00.000Z,NULL
910 1ST ST S #A,11486878.05,3895667.692,2009-07-31T00:00:00.000Z,Failure of equipment or heat source
107 1ST ST S #201,11488161.86,3898787.117,2009-08-01T00:00:00.000Z,NULL
2404 FONTAINE AVE,11477281.27,3897059.785,2004-08-19T00:00:00.000Z,NULL
107 1ST ST S #201,11488161.86,3898787.117,2009-08-01T00:00:00.000Z,Unintentional
512 CLEVELAND AVE,11483097.66,3893798.165,2009-08-03T00:00:00.000Z,NULL
512 CLEVELAND AVE,11483097.66,3893798.165,2009-08-03T00:00:00.000Z,Unintentional
313 2ND ST SE #101,11488355.2,3898147.695,2009-08-09T00:00:00.000Z,NULL
313 2ND ST SE #101,11488355.2,3898147.695,2009-08-09T00:00:00.000Z,Intentional
2400 FONTAINE AVE #A,11477465.97,3897062.368,2002-04-14T00:00:00.000Z,NULL
1423 BURGESS LN #A,11492825.02,3896207.9,2009-08-25T00:00:00.000Z,NULL
722 MADISON AVE #A,11484495,3902688.889,2009-08-21T00:00:00.000Z,NULL
1423 BURGESS LN #A,11492825.02,3896207.9,2009-08-25T00:00:00.000Z,Unintentional
1710 MONTICELLO RD,11490502.26,3892683.441,2009-08-30T00:00:00.000Z,NULL
809 E JEFFERSON ST,11490124.74,3898943.577,2009-08-29T00:00:00.000Z,NULL
1615 EMMET ST N,11484070.47,3908981.333,2009-08-31T00:00:00.000Z,NULL
459 LOCUST AVE,11491135.52,3899421.42,2009-09-04T00:00:00.000Z,NULL
201 15TH ST NW #1A,11483011.32,3900844.418,2009-09-06T00:00:00.000Z,NULL
201 15TH ST NW #1A,11483011.32,3900844.418,2009-09-06T00:00:00.000Z,Unintentional
402 14TH ST NW #1A,11483755.84,3901600.865,2009-09-08T00:00:00.000Z,NULL
419 BRANDON AVE #1,11481713.13,3898934.455,2009-09-10T00:00:00.000Z,NULL
419 BRANDON AVE #1,11481713.13,3898934.455,2009-09-10T00:00:00.000Z,Unintentional
2513 HILLWOOD PL,11490429.31,3911351.024,2009-09-11T00:00:00.000Z,NULL
2513 HILLWOOD PL,11490429.31,3911351.024,2009-09-11T00:00:00.000Z,Unintentional
1801 HYDRAULIC RD,11485874.37,3909883.8,2009-09-12T00:00:00.000Z,NULL
1801 HYDRAULIC RD,11485874.37,3909883.8,2009-09-12T00:00:00.000Z,Unintentional
110 WASHINGTON AVE #1,11479046.07,3897607.111,2009-09-16T00:00:00.000Z,NULL
150 MADISON LN,11482529.31,3901453.483,2009-09-20T00:00:00.000Z,NULL
110 WASHINGTON AVE #1,11479046.07,3897607.111,2009-09-16T00:00:00.000Z,Unintentional
1935 ARLINGTON BLVD,11481449.6,3905442.281,2009-09-22T00:00:00.000Z,NULL
133 CHANCELLOR ST,11482617.84,3901372.337,2009-09-20T00:00:00.000Z,Cause under investigation
1706 CHESAPEAKE ST #A,11494873.18,3896389.658,2009-09-28T00:00:00.000Z,NULL
1706 CHESAPEAKE ST #A,11494873.18,3896389.658,2009-09-28T00:00:00.000Z,Unintentional
407 GARRETT ST #A,11488335.71,3897630.035,2009-09-29T00:00:00.000Z,NULL
407 GARRETT ST #A,11488335.71,3897630.035,2009-09-29T00:00:00.000Z,Unintentional
829 HARDY DR,11485088.38,3900068.819,2009-10-13T00:00:00.000Z,NULL
1215 WERTLAND ST #A13,11483693.77,3900307.038,2009-10-11T00:00:00.000Z,NULL
829 HARDY DR,11485088.38,3900068.819,2009-10-13T00:00:00.000Z,Cause under investigation
1215 WERTLAND ST #A13,11483693.77,3900307.038,2009-10-11T00:00:00.000Z,Unintentional
1 MORTON DR #100,11484181.76,3907827.102,2009-10-15T00:00:00.000Z,NULL
1 MORTON DR #100,11484181.76,3907827.102,2009-10-15T00:00:00.000Z,Unintentional
736 PROSPECT AVE #A,11484516.32,3896306.525,2009-10-19T00:00:00.000Z,NULL
2401 ARLINGTON BLVD #1,11480759.14,3906081.847,2009-10-16T00:00:00.000Z,NULL
2401 ARLINGTON BLVD #1,11480759.14,3906081.847,2009-10-16T00:00:00.000Z,Cause under investigation
212 5TH ST SW #A,11486310.53,3898422.051,2009-10-22T00:00:00.000Z,NULL
212 5TH ST SW #A,11486310.53,3898422.051,2009-10-22T00:00:00.000Z,Cause under investigation
112 W MAIN ST #1,11488094.08,3898837.416,2009-10-23T00:00:00.000Z,Cause under investigation
500 1ST ST S #201,11487738.58,3897479.388,2009-10-28T00:00:00.000Z,NULL
123 E MAIN ST,11488434.01,3898886.197,2009-11-07T00:00:00.000Z,NULL
300 4TH ST SE #1,11488814.09,3898135.063,2009-11-09T00:00:00.000Z,NULL
300 4TH ST SE #1,11488814.09,3898135.063,2009-11-09T00:00:00.000Z,Unintentional
1022 GROVE ST,11483261.65,3898348.148,2009-11-25T00:00:00.000Z,NULL
1022 GROVE ST,11483261.65,3898348.148,2009-11-25T00:00:00.000Z,Unintentional
1215 LEE ST,11483404.36,3899020.127,2009-11-30T00:00:00.000Z,NULL
1215 LEE ST,11483404.36,3899020.127,2009-11-30T00:00:00.000Z,Failure of equipment or heat source
609 PROSPECT AVE,11484314.57,3896766.357,2009-12-03T00:00:00.000Z,NULL
609 PROSPECT AVE,11484314.57,3896766.357,2009-12-03T00:00:00.000Z,Failure of equipment or heat source
101 KENT TER,11480035.17,3897956.796,2009-12-04T00:00:00.000Z,NULL
612 BELMONT AVE,11488783.08,3896932.773,2009-12-18T00:00:00.000Z,NULL
956 ROCK CREEK RD,11483765.4,3894592.755,2009-12-19T00:00:00.000Z,NULL
612 BELMONT AVE,11488783.08,3896932.773,2009-12-18T00:00:00.000Z,Unintentional
956 ROCK CREEK RD,11483765.4,3894592.755,2009-12-19T00:00:00.000Z,Failure of equipment or heat source
207 RIDGE ST,11486865.91,3898296.538,2009-12-20T00:00:00.000Z,NULL
207 RIDGE ST,11486865.91,3898296.538,2009-12-20T00:00:00.000Z,Unintentional
2232 BANBURY ST,11492582.47,3910485.495,2009-12-23T00:00:00.000Z,NULL
2232 BANBURY ST,11492582.47,3910485.495,2009-12-23T00:00:00.000Z,Unintentional
2416 SUNSET RD,11477783.69,3895521.273,2009-12-26T00:00:00.000Z,NULL
2416 SUNSET RD,11477783.69,3895521.273,2009-12-26T00:00:00.000Z,Unintentional
400 ROBERTSON AVE,11479743.4,3896538.373,2009-12-27T00:00:00.000Z,NULL
417 MOBILE LN,11478194.44,3892003.229,2010-01-04T00:00:00.000Z,NULL
417 MOBILE LN,11478194.44,3892003.229,2010-01-04T00:00:00.000Z,Unintentional
203 PALATINE AVE #A,11488468.47,3893466.157,2010-01-04T00:00:00.000Z,NULL
203 PALATINE AVE #A,11488468.47,3893466.157,2010-01-04T00:00:00.000Z,Unintentional
108 2ND ST SW,11488025.94,3898859.201,2010-01-05T00:00:00.000Z,NULL
1614 GREENLEAF LN,11487107.06,3906141.434,2010-01-08T00:00:00.000Z,NULL
108 2ND ST SW,11488025.94,3898859.201,2010-01-05T00:00:00.000Z,Unintentional
1614 GREENLEAF LN,11487107.06,3906141.434,2010-01-08T00:00:00.000Z,Unintentional
810 W MAIN ST,11485288.02,3899155.759,2010-01-10T00:00:00.000Z,NULL
501 RIVES ST #A,11492216.45,3895468.547,2010-01-16T00:00:00.000Z,NULL
501 RIVES ST #A,11492216.45,3895468.547,2010-01-16T00:00:00.000Z,Intentional
501 RIVES ST #A,11492216.45,3895468.547,2010-01-16T00:00:00.000Z,Cause under investigation
762 MADISON AVE #A,11484523.74,3902598.989,2010-01-16T00:00:00.000Z,NULL
127 BIRDWOOD CT,11488929.5,3902949.136,2010-01-21T00:00:00.000Z,NULL
762 MADISON AVE #A,11484523.74,3902598.989,2010-01-16T00:00:00.000Z,Unintentional
203 ROBERTSON AVE,11479198.24,3896622.266,2010-02-08T00:00:00.000Z,NULL
203 ROBERTSON AVE,11479198.24,3896622.266,2010-02-08T00:00:00.000Z,Unintentional
619 CABELL AVE,11483622.56,3902771.904,2010-02-14T00:00:00.000Z,NULL
619 CABELL AVE,11483622.56,3902771.904,2010-02-14T00:00:00.000Z,Unintentional
301 15TH ST NW #1002,11483057.06,3901138.961,2010-02-07T00:00:00.000Z,NULL
1144 E MARKET ST #A,11491840.07,3897415.396,2010-02-18T00:00:00.000Z,NULL
117 ALTAMONT CIR #1,11488352.86,3900270.884,2010-02-23T00:00:00.000Z,NULL
301 15TH ST NW #1002,11483057.06,3901138.961,2010-02-07T00:00:00.000Z,Unintentional
1310 FLORENCE RD,11491523.14,3894298.27,2010-02-26T00:00:00.000Z,NULL
1310 FLORENCE RD,11491523.14,3894298.27,2010-02-26T00:00:00.000Z,Intentional
1600 6TH ST SE #23,11486800.1,3893789.929,2010-02-25T00:00:00.000Z,NULL
247 RIDGE MCINTIRE RD,11487157.55,3899401.783,2010-03-04T00:00:00.000Z,NULL
247 RIDGE MCINTIRE RD,11487157.55,3899401.783,2010-03-04T00:00:00.000Z,Unintentional
1106 MYRTLE ST,11491164.66,3896378.114,2010-03-06T00:00:00.000Z,NULL
1106 MYRTLE ST,11491164.66,3896378.114,2010-03-06T00:00:00.000Z,Unintentional
300 4TH ST SE #1,11488814.09,3898135.063,2010-03-06T00:00:00.000Z,NULL
836 RIDGE ST,11484979.2,3895142.604,2010-03-06T00:00:00.000Z,NULL
300 4TH ST SE #1,11488814.09,3898135.063,2010-03-06T00:00:00.000Z,Unintentional
836 RIDGE ST,11484979.2,3895142.604,2010-03-06T00:00:00.000Z,Unintentional
304 CARLTON RD #A,11491521.99,3895748.902,2010-03-08T00:00:00.000Z,NULL
1819 UNIVERSITY CIR,11482465.07,3903320.777,2010-03-15T00:00:00.000Z,NULL
1819 UNIVERSITY CIR,11482465.07,3903320.777,2010-03-15T00:00:00.000Z,Unintentional
1021 WERTLAND ST #1,11484376.11,3900231.634,2010-03-18T00:00:00.000Z,NULL
1620 MERIDIAN ST,11487952.7,3892492.933,2010-03-21T00:00:00.000Z,NULL
1400 MELBOURNE RD,11489927.84,3906857.363,2010-03-25T00:00:00.000Z,NULL
1400 MELBOURNE RD,11489927.84,3906857.363,2010-03-25T00:00:00.000Z,Unintentional
1101 SEMINOLE TRL,11486473.57,3911587.156,2010-03-25T00:00:00.000Z,Unintentional
1000 EMMET ST N,11482233.84,3905920.886,2010-03-26T00:00:00.000Z,NULL
1408 JEFFERSON PARK AVE,11482245.34,3899256.438,2010-03-26T00:00:00.000Z,NULL
1408 JEFFERSON PARK AVE,11482245.34,3899256.438,2010-03-26T00:00:00.000Z,Unintentional
205 SPRIGG LN,11480511.73,3901882.217,2010-03-30T00:00:00.000Z,NULL
205 SPRIGG LN,11480511.73,3901882.217,2010-03-30T00:00:00.000Z,Unintentional
1101 SEMINOLE TRL,11486473.57,3911587.156,2010-03-31T00:00:00.000Z,NULL
407 GARRETT ST #A,11488335.71,3897630.035,2010-03-31T00:00:00.000Z,NULL
1101 SEMINOLE TRL,11486473.57,3911587.156,2010-03-31T00:00:00.000Z,Unintentional
1008 ST CLAIR AVE,11493991.7,3901983.791,2010-03-31T00:00:00.000Z,NULL
1008 ST CLAIR AVE,11493991.7,3901983.791,2010-03-31T00:00:00.000Z,Unintentional
2748 MCELROY DR,11477587.62,3892665.02,2010-04-04T00:00:00.000Z,NULL
2748 MCELROY DR,11477587.62,3892665.02,2010-04-04T00:00:00.000Z,Unintentional
750 PROSPECT AVE #A,11484429.31,3896034.266,2010-04-05T00:00:00.000Z,NULL
324 6 1/2 ST SW,11485587.88,3898094.336,2010-04-12T00:00:00.000Z,NULL
1000 CHERRY AVE,11483773.84,3897452.662,2010-04-12T00:00:00.000Z,NULL
159 MADISON LN,11482477.8,3901624.517,2010-04-15T00:00:00.000Z,NULL
1000 CHERRY AVE,11483773.84,3897452.662,2010-04-12T00:00:00.000Z,Unintentional
615 MADISON AVE #A,11483990.25,3902741.579,2010-04-15T00:00:00.000Z,NULL
615 MADISON AVE #A,11483990.25,3902741.579,2010-04-15T00:00:00.000Z,Unintentional
403 ALTAMONT ST,11488076.01,3899977.506,2010-04-16T00:00:00.000Z,NULL
975 EMMET ST N,11481788.93,3905895.742,2010-04-16T00:00:00.000Z,NULL
500 1ST ST S #201,11487738.58,3897479.388,2010-04-16T00:00:00.000Z,NULL
803 HENRY AVE,11487115.85,3901736.25,2010-04-17T00:00:00.000Z,NULL
405 GARRETT ST #A,11488341.25,3897705.839,2010-04-19T00:00:00.000Z,NULL
500 1ST ST S #201,11487738.58,3897479.388,2010-04-16T00:00:00.000Z,Unintentional
403 GARRETT ST #A,11488263.01,3897626.265,2010-04-21T00:00:00.000Z,Unintentional
403 GARRETT ST #A,11488263.01,3897626.265,2010-04-21T00:00:00.000Z,NULL
619 CABELL AVE,11483622.56,3902771.904,2010-04-22T00:00:00.000Z,NULL
619 CABELL AVE,11483622.56,3902771.904,2010-04-22T00:00:00.000Z,Failure of equipment or heat source
123 E MAIN ST,11488434.01,3898886.197,2010-04-27T00:00:00.000Z,NULL
517 PARK ST,11489758.03,3900125.814,2010-04-28T00:00:00.000Z,NULL
